BRANCH_ID,REGION,TOTAL_CUSTOMERS,TOTAL_ACTIVE_LOANS,DELINQUENT_LOANS,LOAN_DISBURSEMENT_AMOUNT,AVG_PROCESSING_TIME,RELATIONSHIP_MANAGER_COUNT
B001,West,2891,279,21,341680882,6,29
B002,East,4459,1201,149,96549019,8,35
B003,Central,2504,122,168,445787808,12,48
B004,East,1542,1422,96,353934299,9,50
B005,South,945,1613,87,311637902,11,10
B006,North,525,856,76,10435197,15,7
B007,North,4435,468,200,25191104,7,30
B008,Central,4647,228,117,240602090,7,40
B009,North,3061,236,106,356643441,13,32
B010,West,4618,1810,49,435407779,10,23
B011,South,4108,1067,91,149799582,15,18
B012,West,2408,1714,104,465469874,3,16
B013,North,4127,1299,112,255132776,7,34
B014,North,1706,439,67,482327541,7,45
B015,North,3737,550,73,139524261,14,32
B016,East,4556,577,81,84694218,11,9
B017,North,3859,405,138,75712441,10,19
B018,Northeast,3609,1815,154,190472299,2,11
B019,North,4272,793,52,13557923,14,17
B020,West,1570,1751,89,203940005,13,38
B021,South,3132,475,105,150411759,6,13
B022,East,4214,946,114,362728718,15,23
B023,South,4064,1581,103,269375830,5,16
B024,Central,1980,744,42,375279666,11,18
B025,North,1679,1054,143,125999612,8,41
B026,North,3567,1677,139,401253151,14,19
B027,West,3715,830,18,299774333,3,11
B028,Central,2705,551,70,393550434,12,18
B029,Central,2423,1796,135,234351532,9,46
B030,East,3069,1849,18,15022525,11,16
B031,South,2816,776,22,180725549,15,11
B032,Northeast,1721,251,171,69415705,12,47
B033,South,3159,1891,195,190808551,5,10
B034,Central,4353,1151,98,363032381,10,13
B035,Central,927,618,165,449109596,13,29
B036,East,1529,949,106,499562869,11,8
B037,North,1760,1585,183,420746720,13,22
B038,Northeast,640,1393,113,86826078,6,34
B039,South,763,970,104,136129255,12,40
B040,North,3174,1933,10,410883979,10,34
B041,Northeast,2166,1715,49,96113763,6,25
B042,West,2114,477,160,244555768,2,50
B043,East,3493,872,176,447832443,12,48
B044,Central,2621,256,69,92708075,6,46
B045,South,3759,862,139,306018078,3,23
B046,Central,3056,1648,43,257206777,11,24
B047,East,2017,1113,16,146352191,2,30
B048,Central,4896,1601,87,464419943,4,7
B049,North,1284,347,114,136071324,12,23
B050,North,3075,323,91,442594434,1,15
