LOAN_ID,CUSTOMER_ID,LOAN_AMOUNT,INTEREST_RATE,LOAN_TERM,DISBURSAL_DATE,REPAYMENT_START_DATE,REPAYMENT_END_DATE,LOAN_STATUS,OVERDUE_AMOUNT,EMI_AMOUNT,COLLATERAL_DETAILS,DEFAULT_FLAG,REGION
L000001,C045929,4030468,8.45,24,2023-03-25,2023-04-25,2025-03-25,Active,0,18668,Property,0,East
L000002,C038991,3498647,11.9,48,2023-10-23,2023-11-23,2027-10-23,Closed,44003,36012,Property,0,North
L000003,C046662,4871438,9.74,24,2024-07-30,2024-08-30,2026-07-30,Overdue,0,26347,Property,0,East
L000004,C040268,541515,13.55,24,2024-11-22,2024-12-22,2026-11-22,Active,0,16106,Property,0,West
L000005,C067057,631036,10.1,36,2024-03-30,2024-04-30,2027-03-30,Overdue,0,10127,Property,0,North
L000006,C038381,3107401,10.69,24,2022-06-17,2022-07-17,2024-06-17,Closed,0,33977,Property,0,North
L000007,C034602,1574991,8.76,48,2021-08-27,2021-09-27,2025-08-27,Overdue,42062,61154,Vehicle,0,South
L000008,C028069,423789,11.25,24,2020-03-17,2020-04-17,2022-03-17,Active,0,72319,Vehicle,0,Central
L000009,C028962,3104013,11.59,12,2023-05-24,2023-06-24,2024-05-24,Overdue,0,97277,Property,1,West
L000010,C019466,2557204,11.42,36,2024-07-30,2024-08-30,2027-07-30,Active,0,97672,Vehicle,0,West
L000011,C063526,2465415,10.0,24,2023-06-27,2023-07-27,2025-06-27,Active,0,84877,Property,0,North
L000012,C044712,149702,8.64,24,2021-03-03,2021-04-03,2023-03-03,Closed,26054,63147,Property,0,Northeast
L000013,C028808,3966265,14.47,12,2024-01-25,2024-02-25,2025-01-25,Overdue,35697,15881,Property,0,North
L000014,C000038,2952089,11.41,12,2021-10-25,2021-11-25,2022-10-25,Active,26976,30699,Property,0,West
L000015,C069276,4655457,13.29,48,2023-03-22,2023-04-22,2027-03-22,Closed,43477,6018,Property,0,South
L000016,C023180,2688168,8.11,48,2022-09-11,2022-10-11,2026-09-11,Overdue,0,2187,Vehicle,0,South
L000017,C022659,3407797,7.03,36,2020-07-06,2020-08-06,2023-07-06,Overdue,8860,71143,Property,0,Central
L000018,C063939,3497701,14.49,12,2021-12-22,2022-01-22,2022-12-22,Overdue,0,42861,Property,0,East
L000019,C055991,678843,9.34,36,2020-06-09,2020-07-09,2023-06-09,Overdue,24132,63222,Property,1,South
L000020,C059813,1239057,8.6,36,2022-01-12,2022-02-12,2025-01-12,Closed,0,94960,Vehicle,0,North
L000021,C067427,4814253,8.87,60,2024-06-07,2024-07-07,2029-06-07,Closed,0,47530,Vehicle,0,West
L000022,C059875,2200645,14.66,60,2022-03-14,2022-04-14,2027-03-14,Active,37944,52003,Property,0,Central
L000023,C032809,1470697,7.85,36,2021-10-18,2021-11-18,2024-10-18,Overdue,0,17815,Property,0,Central
L000024,C025907,102126,9.5,36,2020-04-27,2020-05-27,2023-04-27,Overdue,44863,73183,Property,0,Central
L000025,C037085,4331567,10.14,12,2020-08-25,2020-09-25,2021-08-25,Closed,36601,42173,Property,1,East
L000026,C007966,3588490,13.68,12,2023-05-13,2023-06-13,2024-05-13,Active,0,30095,Property,0,North
L000027,C055133,4733890,12.45,48,2023-04-01,2023-05-01,2027-04-01,Overdue,13445,13349,Property,0,South
L000028,C018491,4546874,7.43,12,2020-02-26,2020-03-26,2021-02-26,Closed,45157,18860,Vehicle,0,Central
L000029,C045555,706322,14.63,60,2020-11-12,2020-12-12,2025-11-12,Overdue,0,82597,Property,0,North
L000030,C053908,477158,10.29,48,2023-11-01,2023-12-01,2027-11-01,Active,0,99396,Property,0,North
L000031,C028689,3231038,8.82,60,2024-08-06,2024-09-06,2029-08-06,Closed,0,79797,Vehicle,0,North
L000032,C028990,678905,7.14,36,2020-12-12,2021-01-12,2023-12-12,Active,0,77320,Property,0,North
L000033,C060808,4824268,11.66,12,2020-05-13,2020-06-13,2021-05-13,Overdue,0,26773,Property,0,West
L000034,C046018,3046648,13.02,36,2022-01-17,2022-02-17,2025-01-17,Active,22630,76268,Property,0,Northeast
L000035,C068180,1392556,10.33,12,2020-02-14,2020-03-14,2021-02-14,Overdue,0,2477,Property,0,West
L000036,C008474,1879022,9.02,48,2023-10-23,2023-11-23,2027-10-23,Overdue,0,72777,Vehicle,0,North
L000037,C025247,617430,9.24,24,2021-11-04,2021-12-04,2023-11-04,Active,18590,25811,Vehicle,0,South
L000038,C059042,1922865,11.67,12,2020-12-22,2021-01-22,2021-12-22,Overdue,0,67480,Vehicle,0,East
L000039,C011104,4291400,12.28,12,2022-02-13,2022-03-13,2023-02-13,Closed,0,18704,Property,1,Northeast
L000040,C023022,3125296,7.23,48,2023-08-22,2023-09-22,2027-08-22,Closed,0,18528,Property,0,North
L000041,C050502,435991,12.74,36,2021-01-06,2021-02-06,2024-01-06,Active,0,42467,Property,0,East
L000042,C053101,4143722,10.25,60,2021-05-21,2021-06-21,2026-05-21,Overdue,18808,19160,Vehicle,0,North
L000043,C038332,1981119,12.26,24,2023-06-24,2023-07-24,2025-06-24,Active,39354,30112,Property,0,Central
L000044,C060885,3216907,10.1,36,2022-08-26,2022-09-26,2025-08-26,Closed,0,11146,Property,0,Northeast
L000045,C032889,3434927,14.75,24,2021-10-23,2021-11-23,2023-10-23,Closed,0,99877,Property,0,North
L000046,C042330,1723826,12.26,24,2023-06-27,2023-07-27,2025-06-27,Closed,0,18568,Property,0,Central
L000047,C048175,508075,13.01,36,2022-08-16,2022-09-16,2025-08-16,Overdue,0,3189,Property,0,West
L000048,C010122,2225282,9.08,12,2023-04-26,2023-05-26,2024-04-26,Active,7148,94459,Property,0,South
L000049,C017643,4257047,13.8,12,2023-05-04,2023-06-04,2024-05-04,Overdue,20817,6338,Property,0,Central
L000050,C057771,626523,11.93,60,2024-11-20,2024-12-20,2029-11-20,Active,0,32124,Vehicle,1,East
L000051,C038665,2761505,10.97,36,2023-01-18,2023-02-18,2026-01-18,Overdue,6549,76811,Property,0,North
L000052,C013474,3217848,8.95,48,2021-06-29,2021-07-29,2025-06-29,Overdue,0,8892,Vehicle,0,West
L000053,C067781,1985634,10.91,60,2022-11-14,2022-12-14,2027-11-14,Active,12965,55946,Property,0,Central
L000054,C035318,1938936,10.63,12,2023-06-24,2023-07-24,2024-06-24,Closed,34164,56525,Vehicle,0,Northeast
L000055,C027897,450290,12.29,48,2020-07-02,2020-08-02,2024-07-02,Closed,37466,70535,Property,0,Central
L000056,C008635,3011062,8.33,48,2023-12-17,2024-01-17,2027-12-17,Active,16754,56360,Property,0,East
L000057,C060067,787869,10.36,48,2022-10-30,2022-11-30,2026-10-30,Overdue,0,25560,Property,1,Central
L000058,C006626,2782833,10.76,48,2020-07-18,2020-08-18,2024-07-18,Active,0,39025,Property,0,East
L000059,C061254,1391514,11.89,12,2024-07-29,2024-08-29,2025-07-29,Closed,19693,13843,Property,0,Northeast
L000060,C055018,3547651,8.3,12,2020-02-02,2020-03-02,2021-02-02,Closed,0,34743,Vehicle,0,North
L000061,C031697,1570942,7.52,24,2023-03-21,2023-04-21,2025-03-21,Overdue,0,88955,Property,0,Central
L000062,C021733,2618152,8.2,24,2022-02-22,2022-03-22,2024-02-22,Overdue,32762,53924,Property,1,East
L000063,C063368,4864892,8.89,12,2024-10-16,2024-11-16,2025-10-16,Active,49656,11639,Property,0,Central
L000064,C012385,810137,14.94,24,2024-04-21,2024-05-21,2026-04-21,Overdue,17602,89290,Vehicle,0,West
L000065,C030888,1891537,7.79,36,2020-09-29,2020-10-29,2023-09-29,Active,0,71280,Vehicle,0,Central
L000066,C041972,3229672,10.7,60,2023-02-13,2023-03-13,2028-02-13,Closed,37538,21944,Property,0,North
L000067,C015753,2856514,8.89,36,2022-05-13,2022-06-13,2025-05-13,Active,4559,45519,Vehicle,1,Central
L000068,C024902,4268244,13.43,48,2020-04-01,2020-05-01,2024-04-01,Active,0,99358,Vehicle,0,Central
L000069,C038607,3191998,8.92,60,2023-02-21,2023-03-21,2028-02-21,Active,33707,28390,Vehicle,0,Northeast
L000070,C026124,1053946,12.92,12,2021-06-13,2021-07-13,2022-06-13,Active,9566,34517,Property,0,North
L000071,C016595,846934,12.28,48,2024-06-22,2024-07-22,2028-06-22,Active,0,99011,Property,0,North
L000072,C000645,3598681,13.99,48,2021-01-29,2021-02-28,2025-01-29,Overdue,25426,8498,Vehicle,0,Central
L000073,C049917,4064187,9.76,36,2024-05-04,2024-06-04,2027-05-04,Active,25446,33219,Vehicle,0,Northeast
L000074,C023137,2366923,9.88,48,2021-11-26,2021-12-26,2025-11-26,Active,0,79723,Vehicle,0,North
L000075,C049388,3650509,11.98,24,2023-09-09,2023-10-09,2025-09-09,Closed,4310,15063,Vehicle,0,Central
L000076,C029479,1642024,11.43,24,2020-01-20,2020-02-20,2022-01-20,Active,0,97338,Vehicle,0,West
L000077,C013840,3527646,8.93,36,2024-07-13,2024-08-13,2027-07-13,Overdue,18863,15630,Property,0,North
L000078,C069724,982296,8.81,48,2020-08-14,2020-09-14,2024-08-14,Overdue,47370,51776,Property,0,Central
L000079,C013238,234584,9.38,48,2023-02-13,2023-03-13,2027-02-13,Active,27076,52734,Vehicle,0,Northeast
L000080,C025639,4183572,10.99,12,2024-11-20,2024-12-20,2025-11-20,Overdue,0,14787,Vehicle,0,Central
L000081,C064649,1298451,11.2,24,2020-05-27,2020-06-27,2022-05-27,Active,12755,3440,Property,0,West
L000082,C000376,2158053,12.52,24,2023-03-18,2023-04-18,2025-03-18,Active,0,36664,Property,0,West
L000083,C057647,4759222,8.77,48,2020-04-24,2020-05-24,2024-04-24,Closed,33846,30459,Property,0,West
L000084,C028755,4266058,14.43,60,2022-05-22,2022-06-22,2027-05-22,Closed,36715,25544,Property,0,North
L000085,C069384,4035266,8.28,24,2020-12-07,2021-01-07,2022-12-07,Active,0,63817,Property,0,South
L000086,C007965,572006,14.32,24,2023-02-01,2023-03-01,2025-02-01,Active,0,48365,Property,0,East
L000087,C025690,3831560,11.26,36,2021-12-09,2022-01-09,2024-12-09,Active,0,50370,Vehicle,0,North
L000088,C040988,3752554,8.81,12,2023-01-09,2023-02-09,2024-01-09,Active,9937,83060,Property,0,South
L000089,C026182,4224468,14.72,60,2023-01-16,2023-02-16,2028-01-16,Active,0,63541,Vehicle,0,Central
L000090,C053463,4640507,9.35,48,2021-12-19,2022-01-19,2025-12-19,Active,0,54058,Property,0,West
L000091,C043229,463178,14.98,24,2024-07-22,2024-08-22,2026-07-22,Overdue,0,51322,Property,0,South
L000092,C006448,1560024,12.46,12,2021-04-02,2021-05-02,2022-04-02,Overdue,0,64136,Property,0,Northeast
L000093,C053768,3546119,7.87,60,2024-08-04,2024-09-04,2029-08-04,Overdue,25906,91661,Vehicle,1,Central
L000094,C056455,791701,12.81,12,2022-03-06,2022-04-06,2023-03-06,Closed,0,56647,Vehicle,0,West
L000095,C000782,1754376,7.35,48,2022-10-05,2022-11-05,2026-10-05,Closed,18435,90516,Property,0,Northeast
L000096,C016261,2497314,10.73,12,2020-06-23,2020-07-23,2021-06-23,Overdue,6452,22800,Property,0,South
